dyad,id_1,id_2,node_1,node_2,dyad_id,sex_1,sex_2,age_1,age_2,family_1,family_2,clique_1,clique_2,pair_type,edge,event_count,age_cat_1,age_cat_2,age_dyad,age_diff,dem_class_1,dem_class_2,dem_dyad,dem_dyad_f,dem_diff,sex_dyad,sex_diff,apart
M1_M2,M1,M2,51,61,4736,M,M,3,3,NA,NA,NA,NA,no_group,0.17979245926947582,3,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,17
M1_M3,M1,M3,51,72,4747,M,M,3,3,NA,NA,NA,NA,no_group,0.10520759650386999,5,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,15
M1_M4,M1,M4,51,83,4758,M,M,3,3,NA,NA,NA,NA,no_group,0.20167180657444833,5,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,15
M1_M5,M1,M5,51,94,4769,M,M,3,3,NA,NA,NA,NA,no_group,0.28815076316546945,8,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,12
M1_M6,M1,M6,51,96,4771,M,M,3,3,NA,NA,NA,NA,no_group,0.07005315023412555,0,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,20
M1_M7,M1,M7,51,97,4772,M,M,3,3,NA,NA,NA,NA,no_group,0.13750426853603942,2,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,18
M1_M8,M1,M8,51,98,4773,M,M,3,3,NA,NA,NA,NA,no_group,0.27034594708219756,3,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,17
M1_M9,M1,M9,51,99,4774,M,M,3,3,NA,NA,NA,NA,no_group,0.2631036091438198,5,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,15
M1_M10,M1,M10,51,51,4726,M,M,3,3,NA,NA,NA,NA,no_group,0.11833720189494332,0,P,P,P_P,0,PM,PM,PM_PM,21,0,M_M,0,20
M1_M11,M1,M11,51,52,4727,M,M,3,4,NA,NA,NA,NA,no_group,0.23978178965225913,4,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,16
M1_M12,M1,M12,51,53,4728,M,M,3,4,NA,NA,NA,NA,no_group,0.24099793080625678,2,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,18
M1_M13,M1,M13,51,54,4729,M,M,3,4,NA,NA,NA,NA,no_group,0.12404700451642826,3,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,17
M1_M14,M1,M14,51,55,4730,M,M,3,4,NA,NA,NA,NA,no_group,0.166957026870959,2,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,18
M1_M15,M1,M15,51,56,4731,M,M,3,4,NA,NA,NA,NA,no_group,0.2034844476610453,6,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,14
M1_M16,M1,M16,51,57,4732,M,M,3,4,NA,NA,NA,NA,no_group,0.22382244088571446,5,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,15
M1_M17,M1,M17,51,58,4733,M,M,3,4,NA,NA,NA,NA,no_group,0.1593974925854455,2,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,18
M1_M18,M1,M18,51,59,4734,M,M,3,4,NA,NA,NA,NA,no_group,0.21862634795581132,5,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,15
M1_M19,M1,M19,51,60,4735,M,M,3,4,NA,NA,NA,NA,no_group,0.2495146907259683,5,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,15
M1_M20,M1,M20,51,62,4737,M,M,3,4,NA,NA,NA,NA,no_group,0.26048239689143005,4,P,P,P_P,1,PM,PM,PM_PM,21,0,M_M,0,16
M1_M21,M1,M21,51,63,4738,M,M,3,5,NA,NA,NA,NA,no_group,0.07156792193975196,2,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,18
M1_M22,M1,M22,51,64,4739,M,M,3,5,NA,NA,NA,NA,no_group,0.2098479198849336,2,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,18
M1_M23,M1,M23,51,65,4740,M,M,3,5,NA,NA,NA,NA,no_group,0.122121241119325,3,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,17
M1_M24,M1,M24,51,66,4741,M,M,3,5,NA,NA,NA,NA,no_group,0.2387013630376644,5,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,15
M1_M25,M1,M25,51,67,4742,M,M,3,5,NA,NA,NA,NA,no_group,0.3382055507141236,6,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,14
M1_M26,M1,M26,51,68,4743,M,M,3,5,NA,NA,NA,NA,no_group,0.16425099145574812,3,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,17
M1_M27,M1,M27,51,69,4744,M,M,3,5,NA,NA,NA,NA,no_group,0.09645367407963883,5,P,A,A_P,2,PM,AM,AM_PM,11,1,M_M,0,15
